appid,name,release_date,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,english,categories,genres
292630,Uriel's Chasm,2014-09-12,Rail Slave Games,KPL,477,2263,"200,000 - 500,000",204,0,219,0,4.99,0,1,Single-player;Steam Trading Cards,Adventure;Casual;Indie
527750,Merger 3D,2016-09-29,"Mahhaon, Art-Arcade, Sun Pixel",Sometimes You,79,109,"200,000 - 500,000",249,0,229,0,2.99,0,1,Single-player;Steam Trading Cards;Steam Cloud,Action;Indie
34030,Total War: NAPOLEON – Definitive Edition,2010-02-25,"CREATIVE ASSEMBLY, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)",15947,1426,"1,000,000 - 2,000,000",2203,0,1059,0,24.99,1784,1,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats,Strategy
232050,Eador. Masters of the Broken World,2013-04-19,Snowbird Games,Snowbird Games,1679,793,"500,000 - 1,000,000",397,0,280,0,19.99,51,1,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Strategy
459820,Crush Crush,2016-10-18,Sad Panda Studios,Sad Panda Studios,17359,1815,"1,000,000 - 2,000,000",864,107,392,107,0.0,1460,1,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Stats;Steam Leaderboards,Casual;Free to Play;Indie
11280,Penguins Arena: Sedna's World,2008-12-18,Frogames,Frogames,1088,130,"100,000 - 200,000",210,0,252,0,5.99,2,1,Single-player;Multi-player;Online Multi-Player;Steam Trading Cards,Action;Casual;Indie
880850,War Rock,2019-02-06,Dream Execution,Papaya Play,451,345,"200,000 - 500,000",0,0,0,0,0.0,25,1,Online Multi-Player;Online Co-op;In-App Purchases,Action;Casual;Free to Play;Massively Multiplayer
294750,Anomaly Defenders,2014-05-29,11 bit studios,11 bit studios,378,99,"100,000 - 200,000",216,0,255,0,9.99,3,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy
451520,theBlu,2016-04-05,"Wevr, Inc.","Wevr, Inc.",1034,185,"100,000 - 200,000",169,0,306,0,5.99,8,1,Single-player,Adventure;Casual;Indie;Simulation
233310,Avadon 2: The Corruption,2013-10-30,Spiderweb Software,Spiderweb Software,137,32,"100,000 - 200,000",0,0,0,0,9.99,3,1,Single-player;Steam Achievements,Indie;RPG;Strategy
221680,Rocksmith 2014 Edition - Remastered,2016-10-04,Ubisoft - San Francisco,Ubisoft,16703,1430,"500,000 - 1,000,000",1261,15,500,15,29.99,1067,1,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Steam Cloud;Steam Leaderboards,Casual;Simulation
690530,灵魂筹码 Soul at Stake,2018-06-25,Chongming Studio,Chongming Studio,6131,1916,"500,000 - 1,000,000",585,0,1064,0,17.99,339,1,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie;RPG;Early Access
922450,4X-Galaxy 无主之地：银河,2018-12-20,Mercator,Mercator,122,114,"100,000 - 200,000",0,0,0,0,0.0,0,1,Online Multi-Player;Steam Achievements;In-App Purchases,Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Strategy
568090,Tattletail,2016-12-28,Waygetter Electronics,"Little Flag Software, LLC",2301,189,"100,000 - 200,000",57,0,89,0,4.99,11,1,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie
402840,Crusaders of the Lost Idols,2015-10-13,Codename Entertainment Inc.,Codename Entertainment Inc.,2303,440,"200,000 - 500,000",10722,0,476,0,0.0,1432,1,Single-player;Steam Achievements;Steam Trading Cards,Casual;Free to Play;Indie
300040,Divine Souls F2P MMO,2014-08-15,GamePrix,Suba Games,450,446,"500,000 - 1,000,000",23,0,28,0,0.0,0,1,Single-player;Multi-player;MMO;Co-op;Steam Trading Cards;Partial Controller Support,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Strategy
645260,Trophy Fishing 2,2017-07-13,Overgroup,Overgroup,579,235,"200,000 - 500,000",524,0,15,0,0.0,63,1,Online Multi-Player;Steam Achievements;In-App Purchases,Free to Play;Simulation;Sports
302610,Boson X,2014-09-15,"Ian MacLarty, Jon Kerney",Ian MacLarty,1417,109,"200,000 - 500,000",500,0,511,0,2.99,4,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie
404590,Vikings - Wolves of Midgard,2017-03-24,Games Farm,Kalypso Media Digital,2368,1595,"200,000 - 500,000",313,0,510,0,29.99,29,1,Single-player;Online Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Nudity;Violent;Gore;Action;RPG
217140,Rise of the Triad,2013-07-31,Interceptor Entertainment,Apogee Entertainment,1545,769,"100,000 - 200,000",151,0,136,0,14.99,1,1,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor,Action
260750,Neighbours from Hell Compilation,2013-11-07,JoWooD Vienna,HandyGames,2486,63,"200,000 - 500,000",102,0,109,0,14.99,6,1,Single-player;Steam Cloud,Adventure;Casual
466500,35MM,2016-05-27,Носков Сергей,Носков Сергей,2697,1085,"200,000 - 500,000",194,0,235,0,8.99,7,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie
790600,Stormbound,2018-05-15,"Paladin Studios, Sheepyard",Sheepyard,631,248,"100,000 - 200,000",6232,0,12427,0,0.0,34,1,Online Multi-Player;In-App Purchases,Free to Play;Strategy
448070,Red Risk,2016-03-04,Microblast Games,SA Industry,477,337,"200,000 - 500,000",307,0,285,0,0.99,1,1,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards,Action;Casual;Indie;Strategy
586130,Survival Driver,2017-08-15,"Tero Lunkka, Mikko Seppälä",Tero Lunkka,27,38,"100,000 - 200,000",214,0,229,0,1.99,0,1,Single-player;Steam Trading Cards;Partial Controller Support,Casual;Indie;Racing
55040,Atom Zombie Smasher,2011-03-14,Blendo Games,Blendo Games,1631,195,"200,000 - 500,000",176,0,163,0,9.99,4,1,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Stats,Indie;Strategy
348620,Voices from the Sea,2015-03-24,Zeiva Inc,Zeiva Inc,1138,87,"100,000 - 200,000",0,0,0,0,0.0,1,1,Single-player,Adventure;Casual;Free to Play;Indie
694720,Not My Car – Battle Royale,2019-04-05,NMC Studios,NMC Studios,621,733,"200,000 - 500,000",0,0,0,0,0.0,0,1,Online Multi-Player;MMO;In-App Purchases;Partial Controller Support,Action;Massively Multiplayer;Early Access
248390,Craft The World,2014-11-24,Dekovir Entertainment,Black Maple Games,10723,1451,"500,000 - 1,000,000",2409,5,1496,5,18.99,446,1,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Indie;RPG;Simulation;Strategy
